EGLL
SBGR
EHAM
SBSP
LEMD
LPMA
SBRJ
EDDF
EHLE
LFPG
WIII
EDDM
LPPT
EPKK
EPWA
EFHK
KDEN
LEZL
LFML
GMMB
EPMO
SUMU
EBOS
SBSV
EBAW
LFBD
